COMMON_NAME,SECONDARY_NAME,OTHER_NAMES,CATEGORY,OCCUPANCY,CORPORATION,POPULATION_ESTIMATE,LOCAL_GOVERNMENT_AUTHORITY,LOCALITY,REGIONAL_DEVELOPMENT_COMMISSION,ABS_REMOTENESS_2011,Australian Indigenious Language nfd,Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages,Proportion 1,Proportion 2,Proportion 3,Proportion 4,Proportion 5,Proportion 6,Proportion 7,Proportion 8,Proportion 9,Proportion 10
Tjuntjuntjara,Paupiyala Tjarutja,"Tjuntjuntjarra, Spinifex",Remote Aboriginal Community,Permanent,Paupiyala Tjarutja Aboriginal Corporation,184,Menzies,Plumridge Lakes,Goldfields - Esperance,Very Remote,0,0,0,0,0,0,0,152,0,0,0%,0%,0%,0%,0%,0%,0%,83%,0%,0%
Mia Maya,Pender Gardens,Mayi Mia,Remote Aboriginal Community,Permanent,Pender Aboriginal Pastoral Community Aboriginal Corporation,2,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,2,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Pia Wadjari,Mt Barloweerie,"Pia, Pia Wadjarri",Remote Aboriginal Community,Permanent,Pia Wadjari Aboriginal Corporation,56,Murchison,South Murchison,Mid West,Very Remote,0,0,0,0,0,0,0,56,0,0,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
Girriyoowa,Pullout Springs,Pullout Spring,Remote Aboriginal Community,Permanent,Girriyoowa Aboriginal Corporation,42,Halls Creek,Mueller Ranges,Kimberley,Very Remote,0,0,0,0,0,42,0,0,0,0,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Parnpajinya,Pumajina,Pumajina Reserve,Town Based Community or Reserve,Permanent,Parnpajinya Aboriginal Association Incorporated,60,East Pilbara,Newman,Pilbara,Very Remote,0,0,0,0,3,0,0,50,0,0,0%,0%,0%,0%,5%,0%,0%,83%,0%,0%
Rarrdjali,,,Remote Aboriginal Community,Permanent,Rarrdjali Aboriginal Corporation,12,Broome,Roebuck,Kimberley,Very Remote,0,0,0,0,0,0,0,0,12,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Robe River Junction,,,Remote Aboriginal Community,Permanent,Rb River Junction Aboriginal Corporation,4,Halls Creek,Ord River,Kimberley,Very Remote,0,0,0,0,0,4,0,0,0,0,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Red Shells,,,Remote Aboriginal Community,Permanent,Red Shells Aboriginal Corporation,3,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,3,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Mud Springs,Ribinyung Dawang,"Ribinyung Daawang, Rowena Downs",Remote Aboriginal Community,Permanent,Ribinyung Dawang Aboriginal Corporation,13,Wyndham-East Kimberley,Kununurra,Kimberley,Very Remote,0,0,0,0,0,0,0,0,13,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Rocky Springs,Tharmindie Corp,Rockie Springs,Remote Aboriginal Community,Seasonal,None,0,Halls Creek,Mueller Ranges,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Crocodile Hole,Rugan,,Remote Aboriginal Community,Permanent,Rugan Aboriginal Corporation,16,Wyndham-East Kimberley,Durack,Kimberley,Very Remote,0,0,0,0,0,0,0,0,16,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Tappers Inlet,,,Remote Aboriginal Community,Permanent,TAPPERS INLET COMMUNITY ABORIGINAL CORPORATION,12,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,12,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Tirralintji,Train River,,Remote Aboriginal Community,Permanent,Tirralintji (Aboriginal Corporation),13,Derby-West Kimberley,Mueller Ranges,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,13,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Tkalka Boorda,Three Mile,"Tjalka Boorda, Tjaka Boorda, Tjalku Boorda, 3 Mile",Town Based Community or Reserve,Permanent,TKALKABOORDA COMMUNITY AC,1,Port Hedland,Port Hedland,Pilbara,Remote,0,0,0,0,0,0,0,0,0,1,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Tjirrkarli,,,Remote Aboriginal Community,Permanent,Tjirrkarli (Aboriginal Corporation),62,Ngaanyatjarraku,Gibson Desert South,Goldfields - Esperance,Very Remote,0,0,0,0,0,0,0,62,0,0,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
Tjukurla,,,Remote Aboriginal Community,Permanent,Tjukurla Community Aboriginal Corporation,54,Ngaanyatjarraku,Ngaanyatjarra-Giles,Goldfields - Esperance,Very Remote,0,0,0,0,0,0,0,54,0,0,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
Malaburra,Maher Family,Valentine Island,Remote Aboriginal Community,Seasonal,Malaburra Aboriginal Corporation,0,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Warburton,,Warburton Ranges,Remote Aboriginal Community,Permanent,Warburton Community Inc.,576,Ngaanyatjarraku,Warburton,Goldfields - Esperance,Very Remote,54,0,0,0,0,0,0,411,0,0,9%,0%,0%,0%,0%,0%,0%,71%,0%,0%
Wakathuni,Rocklea,Wakuthuni,Remote Aboriginal Community,Permanent,Wakuthuni Aboriginal Corporation,91,Ashburton,Rocklea,Pilbara,Very Remote,0,0,0,0,0,0,0,91,0,0,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
Yiramalay,Wamali,Yioramalay,Remote Aboriginal Community,Seasonal,None,0,Derby-West Kimberley,King Leopold Ranges,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Wanamulnyundong,Mijilmil Mia,"Mijilmil - Mia, Wanamulnyndong, Wanamulyadong",Remote Aboriginal Community,Permanent,Wanamulnyundong Aboriginal Corporation,20,Broome,Lagrange,Kimberley,Very Remote,0,0,0,0,0,0,0,0,20,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Wangkatjungka,Christmas Creek,"Jilajin, Jittapurru, Kroongal, Kroonul, Wangkatjunka",Remote Aboriginal Community,Permanent,Wangkatjungka Community Incorporated,254,Derby-West Kimberley,St George Ranges,Kimberley,Very Remote,16,0,0,0,0,11,0,24,4,136,6%,0%,0%,0%,0%,4%,0%,9%,2%,54%
Warakurna,Giles,,Remote Aboriginal Community,Permanent,Karrku Homeland Aboriginal Corporation,268,Ngaanyatjarraku,Ngaanyatjarra-Giles,Goldfields - Esperance,Very Remote,0,0,0,0,0,0,0,220,0,0,0%,0%,0%,0%,0%,0%,0%,82%,0%,0%
Warmun,Turkey Creek,,Remote Aboriginal Community,Permanent,Warmun Community (Turkey Creek) Inc.,366,Halls Creek,Warmun,Kimberley,Very Remote,51,0,0,0,0,4,0,0,91,22,14%,0%,0%,0%,0%,1%,0%,0%,25%,6%
Warralong,Karntimarta,"Mirtunkarra, Mirtunkurra, Warralong",Remote Aboriginal Community,Permanent,Karntimarta Aboriginal Corporation,113,East Pilbara,Marble Bar,Pilbara,Very Remote,0,0,0,0,0,0,0,8,0,84,0%,0%,0%,0%,0%,0%,0%,7%,0%,74%
Warrayu,,Warriu,Town Based Community or Reserve,Permanent,Warrayu Community Aboriginal Corporation,45,Wyndham-East Kimberley,Wyndham,Kimberley,Very Remote,0,0,0,0,0,0,0,0,45,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Gullaweed,,,Remote Aboriginal Community,Permanent,Gullaweed Aboriginal Corporation,15,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,15,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
White Gum Park,,Whitegum Park,Remote Aboriginal Community,Seasonal,None,0,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Wijilawarrim,Molly Springs,"Wijilarwarrim, Molly, Wigilawarrim",Remote Aboriginal Community,Permanent,Wijilawarrim Aboriginal Corporation,46,Wyndham-East Kimberley,Lake Argyle,Kimberley,Very Remote,0,0,0,0,0,0,0,0,46,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Windidda,,,Remote Aboriginal Community,Permanent,WINDIDDA ABORIGINAL CORPORATION,35,Wiluna,Lake Carnegie,Mid West,Very Remote,0,0,0,0,0,0,0,35,0,0,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
Windjingayr,Hawkstone,"Windjingare, Windjingayre",Remote Aboriginal Community,Permanent,WINDJINGAYR ABORIGINAL CORPORATION,30,Derby-West Kimberley,King Leopold Ranges,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,30,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Balgo,Wirrimanu,Balgo Hills,Remote Aboriginal Community,Permanent,Wirrimanu Aboriginal Corporation,359,Halls Creek,Tanami,Kimberley,Very Remote,86,0,6,0,0,29,0,56,0,3,24%,0%,2%,0%,0%,8%,0%,16%,0%,1%
Wongatha Wonganarra,,"Wongatha Wonganara, Wongatha Village, Wongatha Wanganarra",Town Based Community or Reserve,Permanent,WONGATHA WONGANARRA ABORIGINAL CORP,51,Laverton,Laverton,Goldfields - Esperance,Very Remote,0,0,0,0,0,0,0,51,0,0,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
Woolergerberleng,Hollow Springs,"Woolerregerberleng, Woolereereerling, Woolie",Remote Aboriginal Community,Permanent,Woolerregerberleng Aboriginal Corporation,19,Wyndham-East Kimberley,Lake Argyle,Kimberley,Very Remote,0,0,0,0,0,0,0,0,19,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Woolah,Doon Doon,"Doon Doon Station, Dunham River",Remote Aboriginal Community,Permanent,Woolah Aboriginal Corporation,64,Wyndham-East Kimberley,Durack,Kimberley,Very Remote,6,0,0,0,0,0,0,0,0,0,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Wuggubun,Card Creek,"Wuggun, Wuggubyn",Remote Aboriginal Community,Permanent,Wuggubun Aboriginal Corporation,50,Wyndham-East Kimberley,Durack,Kimberley,Very Remote,0,0,0,0,0,0,0,0,50,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Middle Lagoon,,,Remote Aboriginal Community,Permanent,MIDDLE LAGOON ABORIGINAL CORPORATION,9,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,9,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Wungu,Old Flora Valley Station,Old Flora Valley,Remote Aboriginal Community,Permanent,Wungu Aboriginal Corporation,4,Halls Creek,Ord River,Kimberley,Very Remote,0,0,0,0,0,4,0,0,0,0,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Frog Hollow,Wurreranginy,"Wurrenraginy, Wurrenranginy",Remote Aboriginal Community,Permanent,WURRERANGINY ABORIGINAL CORP,50,Halls Creek,Ord River,Kimberley,Very Remote,0,0,0,0,0,50,0,0,0,0,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Yakanarra,,Yakanara,Remote Aboriginal Community,Permanent,Yakanarra Aboriginal Corporation,134,Derby-West Kimberley,St George Ranges,Kimberley,Very Remote,0,0,0,0,0,25,0,0,0,98,0%,0%,0%,0%,0%,19%,0%,0%,0%,73%
Ngarlan Burr,Yallet,Yalet,Remote Aboriginal Community,Seasonal,NGARLAN BURR ABORIGINAL CORPORATION,0,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Yandarinya,,,Remote Aboriginal Community,Permanent,Yandarina Aboriginal Corporation,14,Broome,Eighty Mile Beach,Kimberley,Very Remote,0,0,0,0,0,0,0,0,14,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Yarri Yarri,,Yarri,Remote Aboriginal Community,Seasonal,Yarri Yarri Aboriginal Corporation,0,Derby-West Kimberley,St George Ranges,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Dingo Springs,Yardangarli,"Yardungarl, Yardungarll",Remote Aboriginal Community,Permanent,Yardungarll Aboriginal Corporation,8,Wyndham-East Kimberley,Lake Argyle,Kimberley,Very Remote,0,0,0,0,0,0,0,0,8,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Yawuru,,,Remote Aboriginal Community,Permanent,Yawuru Aboriginal Corporation,7,Broome,Roebuck,Kimberley,Remote,0,0,0,0,0,0,0,0,7,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Yirralalem,,"Packsaddle Springs, Yirralallan, Yirralallem",Remote Aboriginal Community,Permanent,Yirralalem Aboriginal Corporation,20,Wyndham-East Kimberley,Kununurra,Kimberley,Very Remote,0,0,0,0,0,0,0,0,20,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Yiyili,Louisa Downs Station,Yiyilli,Remote Aboriginal Community,Permanent,Yiyili Community Aboriginal Corporation,101,Halls Creek,Mueller Ranges,Kimberley,Very Remote,0,0,0,0,0,101,0,0,0,0,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Youngaleena,Mulga Downs,"Youngaleena Bunjima, Youngeleena",Remote Aboriginal Community,Permanent,Youngaleena Bunjima Aboriginal Corporation,29,Ashburton,Mulga Downs,Pilbara,Very Remote,0,0,0,0,0,0,0,29,0,0,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
Yulmbu,Tableland Station,Yulumbu,Remote Aboriginal Community,Permanent,Yulmbu Aboriginal Corporation,15,Derby-West Kimberley,Mueller Ranges,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,15,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Yulga Jinna,Fraser Well,,Remote Aboriginal Community,Permanent,Yulga Jinna Aboriginal Corporation,47,Meekatharra,Peak Hill,Mid West,Very Remote,0,0,0,0,0,0,0,47,0,0,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
Yungngora,Noonkanbah,"Noonkanbah Station, Yungnora",Remote Aboriginal Community,Permanent,Yungngora Association Inc.,409,Derby-West Kimberley,Mount Hardman,Kimberley,Very Remote,11,0,0,0,0,52,0,0,8,274,3%,0%,0%,0%,0%,13%,0%,0%,2%,67%
Karalundi,,Karralundi,Remote Aboriginal Community,Permanent,Karalundi Aboriginal Education Community Inc.,67,Meekatharra,Meekatharra,Mid West,Very Remote,0,0,0,0,0,0,0,67,0,0,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
Butchilbidi,,Budjilbidi,Remote Aboriginal Community,Seasonal,Butchilbidi Aboriginal Corporation,0,Halls Creek,Mueller Ranges,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Budulah,,,Town Based Community or Reserve,Permanent,Budulah Aboriginal Corporation,26,Derby-West Kimberley,Derby,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,26,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Buningbarr,Barringbar,Swan Point,Remote Aboriginal Community,Seasonal,Buningbarr Aborginal Corporation,0,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Bungardi,,,Town Based Community or Reserve,Permanent,Bungardi Inc.,9,Derby-West Kimberley,Fitzroy Crossing,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,9,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Burrinunga,,,Town Based Community or Reserve,Permanent,Burrinunga Aboriginal Corporation,30,Derby-West Kimberley,Derby,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,30,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Bygnunn,,Byngunn,Remote Aboriginal Community,Permanent,Bygnunn Aboriginal Corporation,1,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,1,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Carranya,Meearu Djarula,"Meearh Djarula, Caranya, Meeru Djarula",Remote Aboriginal Community,Seasonal,Meearu Djarula Aboriginal Corporation,0,Halls Creek,Sturt Creek,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Carson River,,,Remote Aboriginal Community,Seasonal,Carson River Pastoral Co. Pty Ltd,0,Wyndham-East Kimberley,Drysdale River,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Camp 61,Ngalkanginya,"Ngalkanginya, Balfour Downs",Remote Aboriginal Community,Seasonal,None,0,East Pilbara,Newman,Pilbara,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Goombading,,,Remote Aboriginal Community,Seasonal,Goombading Aboriginal Corporation,0,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Djilimbardi,Barbwire Range,"Djilumbaddi, Djillumbardi",Remote Aboriginal Community,Seasonal,DJILIMBARDI ABORIGINAL CORP,0,Derby-West Kimberley,St George Ranges,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Djimung Nguda,Ejai Block,"Djimung Gnuda, Djimung Ngudu",Town Based Community or Reserve,Permanent,Djimung Gnudu Aboriginal Corporation,8,Derby-West Kimberley,Derby,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,8,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Five Mile,,,Remote Aboriginal Community,Seasonal,Irrungadji Group Association Inc.,0,East Pilbara,Nullagine,Pilbara,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Fletcher Family,Quartz Blow,,Remote Aboriginal Community,Seasonal,Quartz Blow Community Aboriginal Corporation,0,Halls Creek,Ord River,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Gilungarra,,Gilungurra,Remote Aboriginal Community,Seasonal,Gilungurra Aboriginal Corporation,0,Halls Creek,Sturt Creek,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Goonjarlan,,"Goo, Goonj Arlan",Remote Aboriginal Community,Seasonal,Goonj Arlan Aboriginal Corporation,0,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Goobiny,,,Remote Aboriginal Community,Seasonal,GOOBINY ABORIGINAL CORPORATION,0,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Gudargie,Wattagutabe,"Pianti Yard, Whattarguttabe",Remote Aboriginal Community,Seasonal,Gudargie Aboriginal Corporation,0,Halls Creek,Mueller Ranges,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kumbrarumba,Gurrbumi Ningguwung,,Remote Aboriginal Community,Seasonal,Gurrbumi Ningguwung Aboriginal Corporation,0,Wyndham-East Kimberley,Kununurra,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Malangan,Illengirri Malangan,Ord River,Remote Aboriginal Community,Seasonal,Illengirri Malangan Aboriginal Corporation,0,Halls Creek,Ord River,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Jalyirr,Jaylirr,,Remote Aboriginal Community,Seasonal,Jalyirr Aboriginal Corporation,0,Halls Creek,Tanami,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Jinparinya,,,Remote Aboriginal Community,Permanent,Jinparinya Aboriginal Corporation,12,Port Hedland,Pippingarra,Pilbara,Very Remote,0,0,0,0,0,0,0,12,0,0,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
Jinyaadi,,,Remote Aboriginal Community,Seasonal,JINYADII AC,0,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Djugaragyn,Jugarargyn,,Remote Aboriginal Community,Permanent,DJUGARARGYN AC,8,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,8,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Kalyadayan,,"Kalyaydayan, Kalyadan",Remote Aboriginal Community,Seasonal,Kalyadayan Aboriginal Corporation,0,Broome,Lagrange,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Karrku,Tarku,,Remote Aboriginal Community,Seasonal,Karrku Homeland Aboriginal Corporation,0,Ngaanyatjarraku,Ngaanyatjarra-Giles,Goldfields - Esperance,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kawarre,Bungle Bungle Outstation,Purnululu,Remote Aboriginal Community,Seasonal,Kawarre Aboriginal Corporation,0,Halls Creek,Purnululu,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kayirriwarney,Date Palm,"Kaiyiyiewarreny, Kayirriwarra",Remote Aboriginal Community,Seasonal,Kayiyirriwareny Aboriginal Corporation,0,Halls Creek,Ord River,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Killi Killi,Lukarara,,Remote Aboriginal Community,Seasonal,Lukarara Aboriginal Corporation,0,Halls Creek,Tanami,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Desert Gold,,,Remote Aboriginal Community,Seasonal,Ngangganawili Desert Gold Aboriginal Corporation,0,Wiluna,Wiluna,Mid West,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kurinyjarn,Mary River,Kurinjayan,Remote Aboriginal Community,Seasonal,Kurinyjarn Aboriginal Corporation,0,Halls Creek,Mueller Ranges,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Millargoon,Milagoon,"Midlagoon, Midlargoon",Remote Aboriginal Community,Seasonal,MILARGOON ABORIGINAL CORPORATION,0,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Morrell Park,Four Mile,,Town Based Community or Reserve,Permanent,None,80,Broome,Roebuck,Kimberley,Remote,0,0,0,0,0,0,0,0,80,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Madunka Ewurry,Muda Ewurry,"Madungka Ewurry, Medungka Ewery, Miniarra, Muda-Ewanny",Town Based Community or Reserve,Unoccupied,Muda-Ewunny Community Inc.,0,Meekatharra,Meekatharra,Mid West,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Majaddin,Mount Agnes,Madjaddin,Remote Aboriginal Community,Seasonal,Majaddin Aboriginal Corporation,0,Derby-West Kimberley,King Leopold Ranges,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
