COMMON_NAME,SECONDARY_NAME,OTHER_NAMES,CATEGORY,OCCUPANCY,CORPORATION,POPULATION_ESTIMATE,LOCAL_GOVERNMENT_AUTHORITY,LOCALITY,REGIONAL_DEVELOPMENT_COMMISSION,ABS_REMOTENESS_2011,Australian Indigenious Language nfd,Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages,Proportion 1,Proportion 2,Proportion 3,Proportion 4,Proportion 5,Proportion 6,Proportion 7,Proportion 8,Proportion 9,Proportion 10
Cockatoo,,,Remote Aboriginal Community,Permanent,Cockatoo Aboriginal Corporation,5,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,5,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Cosmo Newberry,Cosmo,Yilka,Remote Aboriginal Community,Permanent,Cosmo Newberry Aboriginal Corporation,58,Laverton,Cosmo Newbery,Goldfields - Esperance,Very Remote,5,0,0,0,0,0,0,39,0,0,9%,0%,0%,0%,0%,0%,0%,67%,0%,0%
Cullacabardee,,Cullacarbardee,Town Based Community or Reserve,Permanent,Cullacabardee Aboriginal Corporation,52,Swan,Cullacabardee,Perth,Major City,0,0,0,0,0,0,0,0,0,52,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Coonana,Upurl-Upurlila Ngurratja,"Upurl Upurlila Ngurratja, Upurl Upurlila",Remote Aboriginal Community,Permanent,Upurl Upurlila Ngurratja Inc,5,Kalgoorlie-Boulder,Cundeelee,Goldfields - Esperance,Very Remote,0,0,0,0,0,0,0,5,0,0,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
Darlngunaya,Old Fitzroy,,Town Based Community or Reserve,Permanent,Darlngunaya Progress Inc.,10,Derby-West Kimberley,Fitzroy Crossing,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,10,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Darlu Darlu,Nine Mile,"Darludarlu, Darlu-Darlu, 9 Mile",Remote Aboriginal Community,Permanent,Darludarlu Aboriginal Corporation,5,Halls Creek,Ord River,Kimberley,Very Remote,0,0,0,0,0,5,0,0,0,0,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Dillon Springs,,,Remote Aboriginal Community,Permanent,Dillon Springs Aboriginal Corporation,6,Wyndham-East Kimberley,Durack,Kimberley,Very Remote,0,0,0,0,0,0,0,0,6,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Djarindjin,,,Remote Aboriginal Community,Permanent,Djarindjin Aboriginal Corporation,202,Broome,Dampier Peninsula,Kimberley,Very Remote,4,0,0,0,5,0,0,0,110,17,2%,0%,0%,0%,2%,0%,0%,0%,54%,8%
Djaradjung,Cygnet Bay,Djarajung,Remote Aboriginal Community,Permanent,Djarajung Aboriginal Corporation,6,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,6,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Djugerari,Cherrabun Station,"Cherrabun, Karriny Karriny",Remote Aboriginal Community,Permanent,Djugerari Aboriginal Corporation,58,Derby-West Kimberley,St George Ranges,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,43,0%,0%,0%,0%,0%,0%,0%,0%,0%,74%
