City / Town,,Region,Remoteness Areas,Locality,Australian Indigenious Language nfd,Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages
Mercedes Cove,6,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,6,0
Milba,5,Kimberley,Very Remote,Ord River,0,0,0,0,0,5,0,0,0,0
Mimbi,17,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,17,0,0,0,0
Mingullatharndo,29,Pilbara,Very Remote,Roebourne,0,0,0,0,0,0,0,29,0,0
Billiluna,150,Kimberley,Very Remote,Sturt Creek,27,0,0,0,0,33,0,6,3,13
Miniata,8,Kimberley,Very Remote,Kununurra,0,0,0,0,0,0,0,0,8,0
Mindi Rardi,79,Kimberley,Very Remote,Fitzroy Crossing,12,0,0,0,0,42,0,8,3,89
Mirima,202,Kimberley,Remote,Kununurra,35,4,0,0,0,14,0,0,54,0
Monbon,28,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,28,0
Moongardie,26,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,26,0,0,0,0
Morard,9,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,9,0
Mowla Bluff,6,Kimberley,Very Remote,Geegully Creek,0,0,0,0,0,0,0,0,0,6
Mowanjum,312,Kimberley,Very Remote,Derby,3,0,0,0,0,6,0,0,32,0
Mudnunn,8,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,8,0
Yandeyarra,126,Pilbara,Very Remote,Marble Bar,0,0,0,0,0,0,0,0,0,81
Mulan,110,Kimberley,Very Remote,Sturt Creek,9,0,0,0,0,4,0,10,0,5
Mulga Queen,45,Goldfields - Esperance,Very Remote,Bandya,0,0,0,0,0,0,0,45,0,0
Muludja,163,Kimberley,Very Remote,St George Ranges,14,0,0,0,0,4,0,0,30,97
Mungullah,186,Gascoyne,Remote,Greys Plain,5,0,0,0,0,0,0,0,0,27
Munmarul,14,Kimberley,Very Remote,King Leopold Ranges,0,0,0,0,0,0,0,0,0,14
Munthanmar,9,Kimberley,Very Remote,Lake Argyle,0,0,0,0,0,0,0,0,9,0
Murphy Creek,1,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,1,0
Nambi Village,40,Goldfields - Esperance,Very Remote,Leonora,0,0,0,0,0,0,0,40,0,0
Neem,10,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,10,0
Ngallagunda,75,Kimberley,Very Remote,Gibb,0,0,0,0,0,0,0,0,75,0
Ngadalargin,2,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,2,0
Ngalingkadji,42,Kimberley,Very Remote,St George Ranges,0,0,0,0,0,0,0,0,0,42
Marunbabidi,0,Kimberley,Very Remote,Prince Regent River,0,0,0,0,0,0,0,0,0,0
Jundaru,14,Pilbara,Very Remote,Peedamulla,0,0,0,0,0,0,0,14,0,0
Punju Njamal,6,Pilbara,Very Remote,Pippingarra,0,0,0,0,0,0,0,6,0,0
Lamboo Station,25,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,25,0,0,0,0
Ngurawaana,30,Pilbara,Very Remote,Fortescue,0,0,0,0,0,0,0,30,0,0
Ngumpan,40,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,0,0,0,0,40
Ngurtuwarta,40,Kimberley,Very Remote,Mount Hardman,0,0,0,0,0,0,0,0,0,40
Ngulwirriwirri,0,Kimberley,Very Remote,Lake Argyle,0,0,0,0,0,0,0,0,0,0
Nicholson Block,60,Kimberley,Very Remote,Halls Creek,9,0,0,0,0,13,0,4,0,0
Nillygan,14,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,14,0
Nillir Irbanjin,0,Kimberley,Remote,Djugun,0,0,0,0,0,0,0,0,0,0
Ningbingi,30,Kimberley,Very Remote,Cambridge Gulf,0,0,0,0,0,0,0,0,30,0
Ninga Mia Village,56,Goldfields - Esperance,Outer Regional,Parkeston,0,0,0,0,0,0,0,23,0,0
Norman Creek,9,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,9,0
Nudugun,8,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,8,0
Nulleywah,137,Kimberley,Remote,Kununurra,0,0,0,0,0,0,0,0,137,0
Ngamakoon,30,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,30,0
Nunju Yallet,5,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,5,0
Nulla Nulla,20,Kimberley,Very Remote,Oombulgurri,0,0,0,0,0,0,0,0,20,0
Nygah Nygah,4,Kimberley,Very Remote,Lagrange,0,0,0,0,0,0,0,0,4,0
Jarlmadanka,7,Kimberley,Very Remote,Camballin,0,0,0,0,0,0,0,0,0,7
Nyumwah,10,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,10,0
Loongabid,15,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,15,0
Pago,3,Kimberley,Very Remote,Drysdale River,0,0,0,0,0,0,0,0,3,0
